,1,2,3,4,5
0,0,"16,171",,,
1,1,"17,118",,,
2,2,"12,133",,,
3,3,"7,509",,,
4,4,"5,525",,,
5,5,"3,878",,,
6,6,"6,495",,,
7,7,"6,584",,,
8,8,"9,224",,,
9,9,"8,299",,,
10,10,"13,781",,,
11,11,"10,533",,,
12,12,"14,141",,,
13,13,"13,285",,,
14,14,"13,803",,,
15,15,"10,870",,,
16,16,"10,194",,,
17,17,"13,533",,,
18,18,"10,329",,,
19,19,"10,961",,,
20,20,"14,682",,,
21,21,"15,743",,,
22,22,"21,811",,,
23,23,"28,352",,,
0,설치자,3주,"725,200",,
1,설치자,4주,"716,259",,
2,설치자,5월1주,"699,535",,
3,설치자,2주,"687,575",,
4,설치자,3주,"697,139",,
5,설치자,4주,"673,053",,
6,설치자,5주,"595,476",,
7,설치자,6월1주,"645,625",,
8,설치자,2주,"688,622",,
9,설치자,3주,"699,190",,
10,설치자,4주,"691,451",,
11,설치자,7월1주,"707,481",,
12,설치자,2주,"703,225",,
13,설치자,3주,"744,556",,
14,설치자,4주,"714,159",,
15,설치자,8월1주,"663,619",,
0,graph,1,3주,210,
1,graph,1,4주,250,
2,graph,1,5월1주,237,
3,graph,1,2주,232,
4,graph,1,3주,254,
5,graph,1,4주,259,
6,graph,1,5주,285,
7,graph,1,6월1주,247,
8,graph,1,2주,251,
9,graph,1,3주,224,
10,graph,1,4주,197,
11,graph,1,7월1주,224,
12,graph,1,2주,216,
13,graph,1,3주,203,
14,graph,1,4주,209,
15,graph,1,8월1주,204,
16,graph,2,3주,3,
17,graph,2,4주,3,
18,graph,2,5월1주,3,
19,graph,2,2주,3,
20,graph,2,3주,3,
21,graph,2,4주,3,
22,graph,2,5주,3,
23,graph,2,6월1주,3,
24,graph,2,2주,3,
25,graph,2,3주,3,
26,graph,2,4주,3,
27,graph,2,7월1주,3,
28,graph,2,2주,3,
29,graph,2,3주,3,
30,graph,2,4주,3,
31,graph,2,8월1주,3,
32,graph,1,3주,"366,661",
33,graph,1,4주,"327,856",
34,graph,1,5월1주,"350,581",
35,graph,1,2주,"358,087",
36,graph,1,3주,"308,993",
37,graph,1,4주,"329,003",
38,graph,1,5주,"282,609",
39,graph,1,6월1주,"314,044",
40,graph,1,2주,"312,946",
41,graph,1,3주,"370,262",
42,graph,1,4주,"417,888",
43,graph,1,7월1주,"369,464",
44,graph,1,2주,"390,272",
45,graph,1,3주,"427,336",
46,graph,1,4주,"388,255",
47,graph,1,8월1주,"398,507",
48,graph,2,3주,"481,385",
49,graph,2,4주,"478,874",
50,graph,2,5월1주,"530,210",
51,graph,2,2주,"526,312",
52,graph,2,3주,"511,247",
53,graph,2,4주,"480,112",
54,graph,2,5주,"494,166",
55,graph,2,6월1주,"507,481",
56,graph,2,2주,"442,135",
57,graph,2,3주,"441,730",
58,graph,2,4주,"385,373",
59,graph,2,7월1주,"426,825",
60,graph,2,2주,"443,389",
61,graph,2,3주,"428,750",
62,graph,2,4주,"395,457",
63,graph,2,8월1주,"409,011",
64,graph,3,3주,"2,403,904",
65,graph,3,4주,"2,450,499",
66,graph,3,5월1주,"2,484,326",
67,graph,3,2주,"2,433,773",
68,graph,3,3주,"2,348,561",
69,graph,3,4주,"2,384,062",
70,graph,3,5주,"2,502,684",
71,graph,3,6월1주,"2,566,047",
72,graph,3,2주,"2,553,750",
73,graph,3,3주,"2,558,336",
74,graph,3,4주,"2,577,614",
75,graph,3,7월1주,"2,652,376",
76,graph,3,2주,"2,546,942",
77,graph,3,3주,"2,629,573",
78,graph,3,4주,"2,611,072",
79,graph,3,8월1주,"2,676,609",
80,graph,1,3주,79.5,
81,graph,1,4주,74.3,
82,graph,1,5월1주,79.4,
83,graph,1,2주,81,
84,graph,1,3주,76.1,
85,graph,1,4주,86.7,
86,graph,1,5주,76.2,
87,graph,1,6월1주,83.9,
88,graph,1,2주,75,
89,graph,1,3주,86.5,
90,graph,1,4주,78.3,
91,graph,1,7월1주,77.4,
92,graph,1,2주,83.5,
93,graph,1,3주,82.7,
94,graph,1,4주,76.2,
95,graph,1,8월1주,83.1,
96,graph,2,3주,77.4,
97,graph,2,4주,73.9,
98,graph,2,5월1주,76,
99,graph,2,2주,74.3,
100,graph,2,3주,75.4,
101,graph,2,4주,68.8,
102,graph,2,5주,69.4,
103,graph,2,6월1주,73.4,
104,graph,2,2주,73.4,
105,graph,2,3주,72.9,
106,graph,2,4주,80.5,
107,graph,2,7월1주,68.3,
108,graph,2,2주,78.6,
109,graph,2,3주,74.8,
110,graph,2,4주,71.6,
111,graph,2,8월1주,76.6,
112,graph,3,3주,86.5,
113,graph,3,4주,88.1,
114,graph,3,5월1주,89.2,
115,graph,3,2주,86.1,
116,graph,3,3주,86.9,
117,graph,3,4주,88.4,
118,graph,3,5주,89.6,
119,graph,3,6월1주,85.2,
120,graph,3,2주,87,
121,graph,3,3주,88.2,
122,graph,3,4주,90,
123,graph,3,7월1주,89.7,
124,graph,3,2주,88.4,
125,graph,3,3주,87.2,
126,graph,3,4주,86.4,
127,graph,3,8월1주,89.7,
0,전체,무료,랭킹,3주,392
1,전체,무료,랭킹,4주,509
2,전체,무료,랭킹,8월1주,543
